1714647070732620300,1
1714647084019739500,1
1714647097404299000,1
1714647110948422400,1
1714647124537422100,1
1714647138159423400,1
1714647151849461500,1
1714647165407459400,1
1714647179155577700,1
1714647192850682400,1
1714647237735885500,1
1714647250978442400,1
1714647264553999300,1
1714647278205643900,1
1714647291467793100,1
1714647304688089200,1
1714647331583640700,1
1714647358130245300,1
1714647371325335900,1
1714647384923885200,1
1714647411728149700,1
1714647424821742900,1
1714647438263789500,1
1714647451347831300,1
1714647464661829900,1
1714647477908965900,1
1714647491425502500,1
1714647504522586000,1
1714647517710685700,1
1714647531089845700,1
1714647544581952200,1
1714647597796594200,1
1714647610997223000,1
1714647624281360400,1
1714647651080996100,1
1714647664651108500,1
1714647677911149600,1
1714647691287199200,1
1714647704801200200,1
1714647745413241700,1
1714647758934281000,1
1714647772201324500,1
1714647785670324200,1
1714647826149890000,1
1714647839573891000,1
1714647853201895900,1
1714647866854923700,1
1714647880134925800,1
1714647893380925600,1
1714647906678924300,1
1714647920518924600,1
1714647933776923700,1
1714647947066973700,1
1714647973787673100,1
